Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,Pos
87,380,99,3-Aug,BOS,,DET,L3-6,CG,5,4,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.41,0.532,0.71,1.242,4,LF
88,381,100,4-Aug,BOS,,PHA,W7-6,CG,5,2,0,0,0,0,0,0,3,0,0,0,0,0,,0,0,0,0.407,0.533,0.705,1.238,4,LF
89,382,101,5-Aug,BOS,,PHA,W6-5,CG,4,4,1,2,1,0,0,2,0,0,0,0,0,0,,0,0,0,0.408,0.533,0.706,1.239,4,LF
90,383,102,Aug 6 (1),BOS,,NYY,W6-3,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.408,0.532,0.702,1.234,4,LF
91,384,103,Aug 6 (2),BOS,,NYY,L1-3,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,0,0.403,0.529,0.695,1.224,4,LF
92,385,104,7-Aug,BOS,,NYY,W9-5,CG,4,4,3,3,0,0,1,2,0,0,0,0,0,0,,0,0,0,0.408,0.532,0.706,1.237,4,LF
93,386,105,8-Aug,BOS,,WSH,W15-8,CG,5,3,2,1,0,0,0,0,2,0,0,0,0,0,,0,0,0,0.407,0.533,0.702,1.235,4,LF
94,387,106,9-Aug,BOS,,WSH,L6-8,CG,5,3,1,1,0,0,0,0,2,0,0,0,0,0,,0,0,0,0.407,0.534,0.698,1.232,4,LF
95,388,107,Aug 10 (1),BOS,,WSH,W7-6,CG,5,4,0,3,0,1,0,0,1,0,0,0,0,0,,0,0,0,0.411,0.537,0.706,1.242,4,LF
96,389,108,Aug 10 (2),BOS,,WSH,L2-8,CG(8),4,3,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.41,0.537,0.702,1.238,4,LF
97,390,109,11-Aug,BOS,@,NYY,W8-0,CG,5,1,1,1,0,0,0,1,4,0,0,0,0,0,,0,0,0,0.412,0.542,0.703,1.245,3,LF
98,391,110,12-Aug,BOS,@,NYY,L0-4,CG,4,3,0,1,0,0,0,0,1,0,2,0,0,0,,0,0,1,0.411,0.542,0.699,1.241,3,LF
